tick,nation_id,trust,inactivity_tier,wealth_stock
0,nation_costa_rica,50.000,active,30.00
0,nation_guatemala,50.000,active,30.00
0,nation_honduras,50.000,active,0.00
0,nation_nicaragua,50.000,active,0.00
0,nation_panama,50.000,active,0.00
1,nation_costa_rica,50.000,active,32.50
1,nation_guatemala,50.000,active,21.50
1,nation_honduras,50.000,active,0.50
1,nation_nicaragua,50.000,active,0.50
1,nation_panama,50.000,active,5.50
2,nation_costa_rica,50.000,active,40.00
2,nation_guatemala,50.000,active,21.00
2,nation_honduras,50.000,active,1.00
2,nation_nicaragua,50.000,active,1.00
2,nation_panama,50.000,active,11.00
3,nation_costa_rica,50.000,active,47.50
3,nation_guatemala,50.000,active,20.50
3,nation_honduras,50.000,active,1.50
3,nation_nicaragua,50.000,active,1.50
3,nation_panama,50.000,active,16.50
4,nation_costa_rica,50.000,active,55.00
4,nation_guatemala,50.000,active,20.00
4,nation_honduras,50.000,active,2.00
4,nation_nicaragua,50.000,active,2.00
4,nation_panama,50.000,active,22.00
5,nation_costa_rica,50.000,active,62.50
5,nation_guatemala,50.000,active,19.50
5,nation_honduras,50.000,active,2.50
5,nation_nicaragua,50.000,active,2.50
5,nation_panama,50.000,active,27.50
6,nation_costa_rica,50.000,active,70.00
6,nation_guatemala,50.000,active,19.00
6,nation_honduras,50.000,active,3.00
6,nation_nicaragua,50.000,active,3.00
6,nation_panama,50.000,active,33.00
7,nation_costa_rica,50.000,active,77.50
7,nation_guatemala,50.000,active,18.50
7,nation_honduras,50.000,active,3.50
7,nation_nicaragua,50.000,active,3.50
7,nation_panama,50.000,active,38.50
8,nation_costa_rica,50.000,active,85.00
8,nation_guatemala,50.000,active,18.00
8,nation_honduras,50.000,active,4.00
8,nation_nicaragua,50.000,active,4.00
8,nation_panama,50.000,active,44.00
9,nation_costa_rica,50.000,active,92.50
9,nation_guatemala,50.000,active,17.50
9,nation_honduras,50.000,active,4.50
9,nation_nicaragua,50.000,active,4.50
9,nation_panama,50.000,active,49.50
10,nation_costa_rica,54.500,active,100.00
10,nation_guatemala,54.500,active,17.00
10,nation_honduras,50.000,active,5.00
10,nation_nicaragua,50.000,active,5.00
10,nation_panama,50.000,active,55.00
11,nation_costa_rica,54.000,active,104.50
11,nation_guatemala,54.000,active,19.50
11,nation_honduras,50.000,active,5.50
11,nation_nicaragua,50.000,active,5.50
11,nation_panama,50.000,active,60.50
12,nation_costa_rica,53.500,active,109.00
12,nation_guatemala,53.500,active,22.00
12,nation_honduras,50.000,active,6.00
12,nation_nicaragua,50.000,active,6.00
12,nation_panama,50.000,active,66.00
13,nation_costa_rica,53.000,active,113.50
13,nation_guatemala,53.000,active,24.50
13,nation_honduras,50.000,active,6.50
13,nation_nicaragua,50.000,active,6.50
13,nation_panama,50.000,active,71.50
14,nation_costa_rica,52.500,active,118.00
14,nation_guatemala,52.500,active,27.00
14,nation_honduras,50.000,active,7.00
14,nation_nicaragua,50.000,active,7.00
14,nation_panama,50.000,active,77.00
15,nation_costa_rica,52.000,active,122.50
15,nation_guatemala,52.000,active,29.50
15,nation_honduras,50.000,active,7.50
15,nation_nicaragua,50.000,active,7.50
15,nation_panama,50.000,active,82.50
